"YearValue","WeekValue","TotalScore"
2009,19,1
2009,22,18
2009,24,1
2009,25,1
2009,39,2
2009,49,10
2009,52,1
2010,47,2
2010,52,1
2011,3,17
2011,4,70
2011,17,3
2011,29,5
2012,9,4
2012,11,138
2012,12,16
2012,13,7
2012,15,1
2012,16,29
2012,21,13
2012,24,207
2012,25,25
2012,26,1
2012,27,10
2012,28,3
2012,29,3
2012,30,2
2012,32,2
2012,33,7
2012,34,5
2012,35,52
2012,36,14
2012,37,2
2012,38,220
2012,40,7
2012,41,2
2012,43,4
2012,44,84
2012,45,3
2012,47,8
2012,48,9
2012,50,9
2012,52,14
2013,0,294
2013,1,7
2013,2,9
2013,3,236
2013,4,279
2013,5,104
2013,6,313
2013,7,71
2013,8,49
2013,9,25
2013,10,72
2013,11,23
2013,12,196
2013,13,28
2013,14,196
2013,15,218
2013,16,611
2013,17,126
2013,18,143
2013,19,169
2013,20,412
2013,21,258
2013,22,285
2013,23,97
2013,24,491
2013,25,553
2013,26,319
2013,27,87
2013,28,223
2013,29,353
2013,30,514
2013,31,267
2013,32,364
2013,33,209
2013,34,145
2013,35,524
2013,36,107
2013,37,97
2013,38,426
2013,39,137
2013,40,96
2013,41,310
2013,42,228
2013,43,397
2013,44,1029
2013,45,53
2013,46,264
2013,47,148
2013,48,154
2013,49,166
2013,50,151
2013,51,76
2013,52,8
2014,0,11
2014,1,86
2014,2,135
2014,3,115
2014,4,42
2014,5,219
2014,6,149
2014,7,400
2014,8,99
2014,9,45
2014,10,135
2014,11,35
2014,12,111
2014,13,57
2014,14,350
2014,15,244
2014,16,105
2014,17,321
2014,18,135
2014,19,170
2014,20,221
2014,21,66
2014,22,27
2014,23,117
2014,24,69
2014,25,96
2014,26,102
2014,27,70
2014,28,117
2014,29,161
2014,30,134
2014,31,93
2014,32,130
2014,33,322
2014,34,43
2014,35,162
2014,36,221
2014,37,107
2014,38,64
2014,39,225
2014,40,292
2014,41,123
