"TotalScore","YearValue","WeekValue"
8,2009,22
27,2009,35
76,2009,46
230,2009,47
26,2009,48
98,2009,49
27,2009,50
9,2009,52
5,2010,1
7,2010,2
46,2010,3
103,2010,4
84,2010,5
2,2010,6
150,2010,7
69,2010,37
168,2010,38
307,2010,39
51,2010,40
159,2010,41
93,2010,42
188,2010,43
257,2010,44
344,2010,45
26,2010,46
117,2010,47
376,2010,48
109,2010,49
150,2010,50
345,2010,51
123,2010,52
29,2011,1
156,2011,2
303,2011,3
141,2011,4
140,2011,5
163,2011,6
220,2011,7
227,2011,8
355,2011,9
267,2011,10
293,2011,11
263,2011,12
733,2011,13
554,2011,14
529,2011,15
330,2011,16
247,2011,17
353,2011,18
335,2011,19
329,2011,20
253,2011,21
111,2011,22
265,2011,23
321,2011,24
435,2011,25
189,2011,26
144,2011,27
506,2011,28
453,2011,29
203,2011,30
3,2011,31
326,2012,5
378,2012,6
343,2012,7
62,2012,8
658,2012,9
159,2012,10
211,2012,11
101,2012,12
239,2012,13
168,2012,14
214,2012,15
266,2012,16
245,2012,17
326,2012,18
320,2012,19
211,2012,20
196,2012,21
218,2012,22
244,2012,23
52,2012,24
55,2012,25
447,2012,26
173,2012,27
211,2012,28
193,2012,29
175,2012,30
41,2012,31
476,2012,32
144,2012,33
23,2012,34
130,2012,35
42,2012,36
482,2012,37
195,2012,38
56,2012,39
261,2012,40
127,2012,41
34,2012,42
103,2012,43
18,2012,44
68,2012,45
65,2012,46
217,2012,47
35,2012,48
53,2012,49
203,2012,50
129,2012,51
125,2012,52
40,2012,53
179,2013,0
140,2013,1
411,2013,2
332,2013,3
336,2013,4
175,2013,5
101,2013,6
288,2013,7
31,2013,8
94,2013,9
493,2013,10
141,2013,11
315,2013,12
97,2013,13
53,2013,14
206,2013,15
64,2013,16
134,2013,17
82,2013,18
251,2013,19
173,2013,20
129,2013,21
391,2013,22
57,2013,23
128,2013,24
49,2013,25
193,2013,26
72,2013,27
39,2013,28
132,2013,29
132,2013,30
109,2013,31
567,2013,32
507,2013,33
194,2013,34
144,2013,35
25,2013,36
134,2013,37
31,2013,38
38,2013,39
253,2013,40
159,2013,41
241,2013,42
460,2013,43
226,2013,44
444,2013,45
876,2013,46
197,2013,47
143,2013,48
89,2013,49
145,2013,50
12,2013,51
18,2013,52
27,2014,0
62,2014,1
449,2014,2
118,2014,3
459,2014,4
179,2014,5
125,2014,6
40,2014,7
191,2014,8
110,2014,9
412,2014,10
194,2014,11
261,2014,12
141,2014,13
178,2014,14
383,2014,15
56,2014,16
207,2014,17
146,2014,18
40,2014,19
56,2014,20
217,2014,21
388,2014,22
245,2014,23
55,2014,24
378,2014,25
769,2014,26
18,2014,27
71,2014,28
54,2014,29
72,2014,30
52,2014,31
61,2014,32
118,2014,33
55,2014,34
102,2014,35
236,2014,36
473,2014,37
92,2014,38
169,2014,39
58,2014,40
1,2014,41
